question,option_1,option_2,option_3,option_4,option_5,answer,wiki_text,page_id,page_title,stem_label
What is molecular engineering?,A field of study concerned with the design and testing of molecular properties,A field of study concerned with macroscopic systems,A field of study concerned with altering nanotechnology,A field of study concerned with trial-and-error approaches,A field of study concerned with printing electronics,option_1,"Molecular engineering is an emerging field of study concerned with the design and testing of molecular properties, behavior and interactions in order to assemble better materials, systems, and processes for specific functions. This approach, in which observable properties of a macroscopic system are influenced by direct alteration of a molecular structure, falls into the broader category of “bottom-up” design.

Molecular engineering is highly interdisciplinary by nature, encompassing aspects of chemical engineering, materials science, bioengineering, electrical engineering, physics, mechanical engineering, and chemistry. There is also considerable overlap with nanotechnology, in that both are concerned with the behavior of materials on the scale of nanometers or smaller. Given the highly fundamental nature of molecular interactions, there are a plethora of potential application areas, limited perhaps only by one's imagination and the laws of physics. However, some of the early successes of molecular engineering have come in the fields of immunotherapy, synthetic biology, and printable electronics (see molecular engineering applications).
Molecular engineering is a dynamic and evolving field with complex target problems; breakthroughs require sophisticated and creative engineers who are conversant across disciplines. A rational engineering methodology that is based on molecular principles is in contrast to the widespread trial-and-error approaches common throughout engineering disciplines. Rather than relying on well-described but poorly-understood empirical correlations between the makeup of a system and its properties, a molecular design approach seeks to manipulate system properties directly using an understanding of their chemical and physical origins.",177515,Molecular engineering,E
Which disciplines does molecular engineering encompass?,"Chemical engineering, materials science, and bioengineering","Electrical engineering, physics, and mechanical engineering",Chemistry and nanotechnology,Physics and mechanical engineering,Immunotherapy and synthetic biology,option_1,"Molecular engineering is an emerging field of study concerned with the design and testing of molecular properties, behavior and interactions in order to assemble better materials, systems, and processes for specific functions. This approach, in which observable properties of a macroscopic system are influenced by direct alteration of a molecular structure, falls into the broader category of “bottom-up” design.

Molecular engineering is highly interdisciplinary by nature, encompassing aspects of chemical engineering, materials science, bioengineering, electrical engineering, physics, mechanical engineering, and chemistry. There is also considerable overlap with nanotechnology, in that both are concerned with the behavior of materials on the scale of nanometers or smaller. Given the highly fundamental nature of molecular interactions, there are a plethora of potential application areas, limited perhaps only by one's imagination and the laws of physics. However, some of the early successes of molecular engineering have come in the fields of immunotherapy, synthetic biology, and printable electronics (see molecular engineering applications).
Molecular engineering is a dynamic and evolving field with complex target problems; breakthroughs require sophisticated and creative engineers who are conversant across disciplines. A rational engineering methodology that is based on molecular principles is in contrast to the widespread trial-and-error approaches common throughout engineering disciplines. Rather than relying on well-described but poorly-understood empirical correlations between the makeup of a system and its properties, a molecular design approach seeks to manipulate system properties directly using an understanding of their chemical and physical origins.",177515,Molecular engineering,E
What are some early successes of molecular engineering?,"Immunotherapy, synthetic biology, and printable electronics","Chemical engineering, materials science, and bioengineering","Electrical engineering, physics, and mechanical engineering",Chemistry and nanotechnology,Physics and mechanical engineering,option_1,"Molecular engineering is an emerging field of study concerned with the design and testing of molecular properties, behavior and interactions in order to assemble better materials, systems, and processes for specific functions. This approach, in which observable properties of a macroscopic system are influenced by direct alteration of a molecular structure, falls into the broader category of “bottom-up” design.

Molecular engineering is highly interdisciplinary by nature, encompassing aspects of chemical engineering, materials science, bioengineering, electrical engineering, physics, mechanical engineering, and chemistry. There is also considerable overlap with nanotechnology, in that both are concerned with the behavior of materials on the scale of nanometers or smaller. Given the highly fundamental nature of molecular interactions, there are a plethora of potential application areas, limited perhaps only by one's imagination and the laws of physics. However, some of the early successes of molecular engineering have come in the fields of immunotherapy, synthetic biology, and printable electronics (see molecular engineering applications).
Molecular engineering is a dynamic and evolving field with complex target problems; breakthroughs require sophisticated and creative engineers who are conversant across disciplines. A rational engineering methodology that is based on molecular principles is in contrast to the widespread trial-and-error approaches common throughout engineering disciplines. Rather than relying on well-described but poorly-understood empirical correlations between the makeup of a system and its properties, a molecular design approach seeks to manipulate system properties directly using an understanding of their chemical and physical origins.",177515,Molecular engineering,E
What sets molecular engineering apart from other engineering disciplines?,It relies on trial-and-error approaches,It encompasses macroscopic systems,It focuses on printed electronics,It seeks to manipulate system properties directly based on chemical and physical origins,It focuses on nanotechnology,option_4,"Molecular engineering is an emerging field of study concerned with the design and testing of molecular properties, behavior and interactions in order to assemble better materials, systems, and processes for specific functions. This approach, in which observable properties of a macroscopic system are influenced by direct alteration of a molecular structure, falls into the broader category of “bottom-up” design.

Molecular engineering is highly interdisciplinary by nature, encompassing aspects of chemical engineering, materials science, bioengineering, electrical engineering, physics, mechanical engineering, and chemistry. There is also considerable overlap with nanotechnology, in that both are concerned with the behavior of materials on the scale of nanometers or smaller. Given the highly fundamental nature of molecular interactions, there are a plethora of potential application areas, limited perhaps only by one's imagination and the laws of physics. However, some of the early successes of molecular engineering have come in the fields of immunotherapy, synthetic biology, and printable electronics (see molecular engineering applications).
Molecular engineering is a dynamic and evolving field with complex target problems; breakthroughs require sophisticated and creative engineers who are conversant across disciplines. A rational engineering methodology that is based on molecular principles is in contrast to the widespread trial-and-error approaches common throughout engineering disciplines. Rather than relying on well-described but poorly-understood empirical correlations between the makeup of a system and its properties, a molecular design approach seeks to manipulate system properties directly using an understanding of their chemical and physical origins.",177515,Molecular engineering,E
What is required for breakthroughs in molecular engineering?,Conversance across disciplines and trial-and-error approaches,Sophisticated and creative engineers conversant across disciplines,An understanding of chemical and physical origins,An understanding of empirical correlations,An understanding of macroscopic systems,option_2,"Molecular engineering is an emerging field of study concerned with the design and testing of molecular properties, behavior and interactions in order to assemble better materials, systems, and processes for specific functions. This approach, in which observable properties of a macroscopic system are influenced by direct alteration of a molecular structure, falls into the broader category of “bottom-up” design.

Molecular engineering is highly interdisciplinary by nature, encompassing aspects of chemical engineering, materials science, bioengineering, electrical engineering, physics, mechanical engineering, and chemistry. There is also considerable overlap with nanotechnology, in that both are concerned with the behavior of materials on the scale of nanometers or smaller. Given the highly fundamental nature of molecular interactions, there are a plethora of potential application areas, limited perhaps only by one's imagination and the laws of physics. However, some of the early successes of molecular engineering have come in the fields of immunotherapy, synthetic biology, and printable electronics (see molecular engineering applications).
Molecular engineering is a dynamic and evolving field with complex target problems; breakthroughs require sophisticated and creative engineers who are conversant across disciplines. A rational engineering methodology that is based on molecular principles is in contrast to the widespread trial-and-error approaches common throughout engineering disciplines. Rather than relying on well-described but poorly-understood empirical correlations between the makeup of a system and its properties, a molecular design approach seeks to manipulate system properties directly using an understanding of their chemical and physical origins.",177515,Molecular engineering,E
What is a lottery in expected utility theory?,A continuous distribution of probability on a set of states of nature,A discrete distribution of probability on a set of states of nature,A random assortment of outcomes with no probability distribution,A deterministic outcome with no uncertainty,A distribution of probabilities on a set of states of mind,option_2,"In expected utility theory, a lottery is a discrete distribution of probability on a set of states of nature. The elements of a lottery correspond to the probabilities that each of the states of nature will occur, e.g. (Rain:.70, No Rain:.30). Much of the theoretical analysis of choice under uncertainty involves characterizing the available choices in terms of lotteries.
In economics, individuals are assumed to rank lotteries according to a rational system of preferences, although it is now accepted that people make irrational choices systematically.  Behavioral economics studies what happens in markets in which some of the agents display human complications and limitations.

Choice under risk
According to expected utility theory, someone chooses among lotteries by multiplying his subjective estimate of the probabilities of the possible outcomes by a utility attached to each outcome by his personal utility function. Thus, each lottery has an expected utility, a linear combination of the utilities of the outcomes in which weights are the subjective probabilities. It is also founded in the famous example, the St.",31625611,Lottery (probability),S
How are lotteries ranked in economics?,Based on the number of outcomes,Based on the probabilities of the outcomes,Based on the utilities attached to each outcome,Based on the subjective estimates of the probabilities,Based on the expected utility of each outcome,option_5,"In expected utility theory, a lottery is a discrete distribution of probability on a set of states of nature. The elements of a lottery correspond to the probabilities that each of the states of nature will occur, e.g. (Rain:.70, No Rain:.30). Much of the theoretical analysis of choice under uncertainty involves characterizing the available choices in terms of lotteries.
In economics, individuals are assumed to rank lotteries according to a rational system of preferences, although it is now accepted that people make irrational choices systematically.  Behavioral economics studies what happens in markets in which some of the agents display human complications and limitations.

Choice under risk
According to expected utility theory, someone chooses among lotteries by multiplying his subjective estimate of the probabilities of the possible outcomes by a utility attached to each outcome by his personal utility function. Thus, each lottery has an expected utility, a linear combination of the utilities of the outcomes in which weights are the subjective probabilities. It is also founded in the famous example, the St.",31625611,Lottery (probability),S
What is the basis of expected utility theory?,The subjective estimates of probabilities,The utilities attached to each outcome,The linear combination of utility and probabilities,The rational system of preferences,The analysis of choice under uncertainty,option_3,"In expected utility theory, a lottery is a discrete distribution of probability on a set of states of nature. The elements of a lottery correspond to the probabilities that each of the states of nature will occur, e.g. (Rain:.70, No Rain:.30). Much of the theoretical analysis of choice under uncertainty involves characterizing the available choices in terms of lotteries.
In economics, individuals are assumed to rank lotteries according to a rational system of preferences, although it is now accepted that people make irrational choices systematically.  Behavioral economics studies what happens in markets in which some of the agents display human complications and limitations.

Choice under risk
According to expected utility theory, someone chooses among lotteries by multiplying his subjective estimate of the probabilities of the possible outcomes by a utility attached to each outcome by his personal utility function. Thus, each lottery has an expected utility, a linear combination of the utilities of the outcomes in which weights are the subjective probabilities. It is also founded in the famous example, the St.",31625611,Lottery (probability),S
What does behavioral economics study?,The market behavior of rational agents,The choices individuals make in uncertain situations,The limitations and complications of human decision-making,The expected utility of different outcomes,The theory of preferences in economics,option_3,"In expected utility theory, a lottery is a discrete distribution of probability on a set of states of nature. The elements of a lottery correspond to the probabilities that each of the states of nature will occur, e.g. (Rain:.70, No Rain:.30). Much of the theoretical analysis of choice under uncertainty involves characterizing the available choices in terms of lotteries.
In economics, individuals are assumed to rank lotteries according to a rational system of preferences, although it is now accepted that people make irrational choices systematically.  Behavioral economics studies what happens in markets in which some of the agents display human complications and limitations.

Choice under risk
According to expected utility theory, someone chooses among lotteries by multiplying his subjective estimate of the probabilities of the possible outcomes by a utility attached to each outcome by his personal utility function. Thus, each lottery has an expected utility, a linear combination of the utilities of the outcomes in which weights are the subjective probabilities. It is also founded in the famous example, the St.",31625611,Lottery (probability),S
What is the expected utility of a lottery?,A subjective estimate of the probabilities of the outcomes,A linear combination of the utilities of the outcomes,A rational system of preferences in choice-making,A rational system of preferences in choice-making,A distribution of probabilities on a set of states of mind,option_2,"In expected utility theory, a lottery is a discrete distribution of probability on a set of states of nature. The elements of a lottery correspond to the probabilities that each of the states of nature will occur, e.g. (Rain:.70, No Rain:.30). Much of the theoretical analysis of choice under uncertainty involves characterizing the available choices in terms of lotteries.
In economics, individuals are assumed to rank lotteries according to a rational system of preferences, although it is now accepted that people make irrational choices systematically.  Behavioral economics studies what happens in markets in which some of the agents display human complications and limitations.

Choice under risk
According to expected utility theory, someone chooses among lotteries by multiplying his subjective estimate of the probabilities of the possible outcomes by a utility attached to each outcome by his personal utility function. Thus, each lottery has an expected utility, a linear combination of the utilities of the outcomes in which weights are the subjective probabilities. It is also founded in the famous example, the St.",31625611,Lottery (probability),S
What is the geographical feature of the Gotjawal Forest?,Flat plains,Sandy beaches,Rocky area,Marshy swamps,Gentle slopes,option_3,"Gotjawal Forest is a naturally formed forest located on the middle slopes of Halla Mountain, Jeju Island in South Korea. It covers the rocky area of ʻaʻā on Jeju Island off the southwestern coast of South Korea. Due to the geographical feature, the region remains largely undisturbed by people. The Gotjawal Forest is an enclave of the Southern Korea evergreen forests ecoregion, and is a favorite place of the Jeju locals.

Etymology
Traditionally, Jeju locals call any forest on rocky ground ""Gotjawal"" (곶자왈). According to the Jeju Dialect Dictionary, ""Gotjawal"" refers to an unmanned and unapproachable forest mixed with trees and bushes. However, Song Shi-tae suggested, in his Ph.D. dissertation, a new meaning for the term ""Gotjawal"" because of its direct association with ""ʻAʻā.",23000371,Gotjawal Forest,S
Which ecoregion does the Gotjawal Forest belong to?,Temperate rainforests,Tropical rainforests,Mangrove swamps,Desert dunes,Southern Korea evergreen forests,option_5,"Gotjawal Forest is a naturally formed forest located on the middle slopes of Halla Mountain, Jeju Island in South Korea. It covers the rocky area of ʻaʻā on Jeju Island off the southwestern coast of South Korea. Due to the geographical feature, the region remains largely undisturbed by people. The Gotjawal Forest is an enclave of the Southern Korea evergreen forests ecoregion, and is a favorite place of the Jeju locals.

Etymology
Traditionally, Jeju locals call any forest on rocky ground ""Gotjawal"" (곶자왈). According to the Jeju Dialect Dictionary, ""Gotjawal"" refers to an unmanned and unapproachable forest mixed with trees and bushes. However, Song Shi-tae suggested, in his Ph.D. dissertation, a new meaning for the term ""Gotjawal"" because of its direct association with ""ʻAʻā.",23000371,Gotjawal Forest,S
"What does the term ""Gotjawal"" refer to according to the Jeju Dialect Dictionary?",A forest with tall trees,A forest with rare plants,An unmanned and unapproachable forest mixed with trees and bushes,A forest with abundant wildlife,A forest with natural springs,option_3,"Gotjawal Forest is a naturally formed forest located on the middle slopes of Halla Mountain, Jeju Island in South Korea. It covers the rocky area of ʻaʻā on Jeju Island off the southwestern coast of South Korea. Due to the geographical feature, the region remains largely undisturbed by people. The Gotjawal Forest is an enclave of the Southern Korea evergreen forests ecoregion, and is a favorite place of the Jeju locals.

Etymology
Traditionally, Jeju locals call any forest on rocky ground ""Gotjawal"" (곶자왈). According to the Jeju Dialect Dictionary, ""Gotjawal"" refers to an unmanned and unapproachable forest mixed with trees and bushes. However, Song Shi-tae suggested, in his Ph.D. dissertation, a new meaning for the term ""Gotjawal"" because of its direct association with ""ʻAʻā.",23000371,Gotjawal Forest,S
"Who suggested a new meaning for the term ""Gotjawal""?",Jeju locals,Ph.D. dissertation author,Ecologists,Government officials,Tourism board,option_2,"Gotjawal Forest is a naturally formed forest located on the middle slopes of Halla Mountain, Jeju Island in South Korea. It covers the rocky area of ʻaʻā on Jeju Island off the southwestern coast of South Korea. Due to the geographical feature, the region remains largely undisturbed by people. The Gotjawal Forest is an enclave of the Southern Korea evergreen forests ecoregion, and is a favorite place of the Jeju locals.

Etymology
Traditionally, Jeju locals call any forest on rocky ground ""Gotjawal"" (곶자왈). According to the Jeju Dialect Dictionary, ""Gotjawal"" refers to an unmanned and unapproachable forest mixed with trees and bushes. However, Song Shi-tae suggested, in his Ph.D. dissertation, a new meaning for the term ""Gotjawal"" because of its direct association with ""ʻAʻā.",23000371,Gotjawal Forest,S
"What is the direct association of ""Gotjawal"" with?",Temperate forests,Tropical beaches,Rocky mountains,Marshy wetlands,ʻAʻā,option_5,"Gotjawal Forest is a naturally formed forest located on the middle slopes of Halla Mountain, Jeju Island in South Korea. It covers the rocky area of ʻaʻā on Jeju Island off the southwestern coast of South Korea. Due to the geographical feature, the region remains largely undisturbed by people. The Gotjawal Forest is an enclave of the Southern Korea evergreen forests ecoregion, and is a favorite place of the Jeju locals.

Etymology
Traditionally, Jeju locals call any forest on rocky ground ""Gotjawal"" (곶자왈). According to the Jeju Dialect Dictionary, ""Gotjawal"" refers to an unmanned and unapproachable forest mixed with trees and bushes. However, Song Shi-tae suggested, in his Ph.D. dissertation, a new meaning for the term ""Gotjawal"" because of its direct association with ""ʻAʻā.",23000371,Gotjawal Forest,S
What is the definition of geomatics according to the ISO/TC 211 series of standards?,"The discipline concerned with the collection, distribution, storage, analysis, processing, presentation of geographic data or geographic information.",The study of land surveying and remote sensing.,The management of geographic (geospatial) data.,The study of geophysics and geography.,The study of satellite navigation systems.,option_1,"Geomatics is defined in the ISO/TC 211 series of standards as the ""discipline concerned with the collection, distribution, storage, analysis, processing, presentation of geographic data or geographic information"". Under another definition, it consists of products, services and tools involved in the collection, integration and management of geographic (geospatial) data. It is also known as geomatic(s) engineering (geodesy and geoinformatics engineering or geospatial engineering). Surveying engineering was the widely used name for geomatic(s) engineering in the past.

History and etymology
The term was proposed in French (""géomatique"") at the end of the 1960s by scientist Bernard Dubuisson to reflect at the time recent changes in the jobs of surveyor and photogrammetrist. The term was first employed in a French Ministry of Public Works memorandum dated 1 June 1971 instituting a ""standing committee of geomatics"" in the government.The term was popularised in English by French-Canadian surveyor Michel Paradis in his The little Geodesist that could article, in 1981 and in a keynote address at the centennial congress of the Canadian Institute of Surveying (now known as the Canadian Institute of Geomatics) in April 1982. He claimed that at the end of the 20th century the needs for geographical information would reach a scope without precedent in history and that, in order to address these needs, it was necessary to integrate in a new discipline both the traditional disciplines of land surveying and the new tools and techniques of data capture, manipulation, storage and diffusion.Geomatics includes the tools and techniques used in land surveying, remote sensing, cartography, geographic information systems (GIS), global navigation satellite systems (GPS, GLONASS, Galileo, BeiDou), photogrammetry, geophysics, geography, and related forms of earth mapping. The term was originally used in Canada but has since been adopted by the International Organization for Standardization, the Royal Institution of Chartered Surveyors, and many other international authorities, although some (especially in the United States) have shown a preference for the term geospatial technology, which may be defined as synonym of ""geospatial information and communications technology"".Although many definitions of geomatics, such as the above, appear to encompass the entire discipline relating to geographic information – including geodesy, geographic information systems, remote sensing, satellite navigation, and cartography –, the term is almost exclusively restricted to the perspective of surveying and engineering toward geographic information.",510905,Geomatics,T
"Who proposed the term ""geomatics"" in French in the 1960s?",Bernard Dubuisson,Michel Paradis,ISO/TC 211,Royal Institution of Chartered Surveyors,Canadian Institute of Geomatics,option_1,"Geomatics is defined in the ISO/TC 211 series of standards as the ""discipline concerned with the collection, distribution, storage, analysis, processing, presentation of geographic data or geographic information"". Under another definition, it consists of products, services and tools involved in the collection, integration and management of geographic (geospatial) data. It is also known as geomatic(s) engineering (geodesy and geoinformatics engineering or geospatial engineering). Surveying engineering was the widely used name for geomatic(s) engineering in the past.

History and etymology
The term was proposed in French (""géomatique"") at the end of the 1960s by scientist Bernard Dubuisson to reflect at the time recent changes in the jobs of surveyor and photogrammetrist. The term was first employed in a French Ministry of Public Works memorandum dated 1 June 1971 instituting a ""standing committee of geomatics"" in the government.The term was popularised in English by French-Canadian surveyor Michel Paradis in his The little Geodesist that could article, in 1981 and in a keynote address at the centennial congress of the Canadian Institute of Surveying (now known as the Canadian Institute of Geomatics) in April 1982. He claimed that at the end of the 20th century the needs for geographical information would reach a scope without precedent in history and that, in order to address these needs, it was necessary to integrate in a new discipline both the traditional disciplines of land surveying and the new tools and techniques of data capture, manipulation, storage and diffusion.Geomatics includes the tools and techniques used in land surveying, remote sensing, cartography, geographic information systems (GIS), global navigation satellite systems (GPS, GLONASS, Galileo, BeiDou), photogrammetry, geophysics, geography, and related forms of earth mapping. The term was originally used in Canada but has since been adopted by the International Organization for Standardization, the Royal Institution of Chartered Surveyors, and many other international authorities, although some (especially in the United States) have shown a preference for the term geospatial technology, which may be defined as synonym of ""geospatial information and communications technology"".Although many definitions of geomatics, such as the above, appear to encompass the entire discipline relating to geographic information – including geodesy, geographic information systems, remote sensing, satellite navigation, and cartography –, the term is almost exclusively restricted to the perspective of surveying and engineering toward geographic information.",510905,Geomatics,T
"In which year did the term ""geomatics"" gain popularity in English?",1960,1971,1981,1982,2000,option_4,"Geomatics is defined in the ISO/TC 211 series of standards as the ""discipline concerned with the collection, distribution, storage, analysis, processing, presentation of geographic data or geographic information"". Under another definition, it consists of products, services and tools involved in the collection, integration and management of geographic (geospatial) data. It is also known as geomatic(s) engineering (geodesy and geoinformatics engineering or geospatial engineering). Surveying engineering was the widely used name for geomatic(s) engineering in the past.

History and etymology
The term was proposed in French (""géomatique"") at the end of the 1960s by scientist Bernard Dubuisson to reflect at the time recent changes in the jobs of surveyor and photogrammetrist. The term was first employed in a French Ministry of Public Works memorandum dated 1 June 1971 instituting a ""standing committee of geomatics"" in the government.The term was popularised in English by French-Canadian surveyor Michel Paradis in his The little Geodesist that could article, in 1981 and in a keynote address at the centennial congress of the Canadian Institute of Surveying (now known as the Canadian Institute of Geomatics) in April 1982. He claimed that at the end of the 20th century the needs for geographical information would reach a scope without precedent in history and that, in order to address these needs, it was necessary to integrate in a new discipline both the traditional disciplines of land surveying and the new tools and techniques of data capture, manipulation, storage and diffusion.Geomatics includes the tools and techniques used in land surveying, remote sensing, cartography, geographic information systems (GIS), global navigation satellite systems (GPS, GLONASS, Galileo, BeiDou), photogrammetry, geophysics, geography, and related forms of earth mapping. The term was originally used in Canada but has since been adopted by the International Organization for Standardization, the Royal Institution of Chartered Surveyors, and many other international authorities, although some (especially in the United States) have shown a preference for the term geospatial technology, which may be defined as synonym of ""geospatial information and communications technology"".Although many definitions of geomatics, such as the above, appear to encompass the entire discipline relating to geographic information – including geodesy, geographic information systems, remote sensing, satellite navigation, and cartography –, the term is almost exclusively restricted to the perspective of surveying and engineering toward geographic information.",510905,Geomatics,T
What are some of the disciplines included in geomatics?,"Land surveying, remote sensing, cartography","Geophysics, geography, geodesy",Geographic information systems (GIS),All of the above,None of the above,option_4,"Geomatics is defined in the ISO/TC 211 series of standards as the ""discipline concerned with the collection, distribution, storage, analysis, processing, presentation of geographic data or geographic information"". Under another definition, it consists of products, services and tools involved in the collection, integration and management of geographic (geospatial) data. It is also known as geomatic(s) engineering (geodesy and geoinformatics engineering or geospatial engineering). Surveying engineering was the widely used name for geomatic(s) engineering in the past.

History and etymology
The term was proposed in French (""géomatique"") at the end of the 1960s by scientist Bernard Dubuisson to reflect at the time recent changes in the jobs of surveyor and photogrammetrist. The term was first employed in a French Ministry of Public Works memorandum dated 1 June 1971 instituting a ""standing committee of geomatics"" in the government.The term was popularised in English by French-Canadian surveyor Michel Paradis in his The little Geodesist that could article, in 1981 and in a keynote address at the centennial congress of the Canadian Institute of Surveying (now known as the Canadian Institute of Geomatics) in April 1982. He claimed that at the end of the 20th century the needs for geographical information would reach a scope without precedent in history and that, in order to address these needs, it was necessary to integrate in a new discipline both the traditional disciplines of land surveying and the new tools and techniques of data capture, manipulation, storage and diffusion.Geomatics includes the tools and techniques used in land surveying, remote sensing, cartography, geographic information systems (GIS), global navigation satellite systems (GPS, GLONASS, Galileo, BeiDou), photogrammetry, geophysics, geography, and related forms of earth mapping. The term was originally used in Canada but has since been adopted by the International Organization for Standardization, the Royal Institution of Chartered Surveyors, and many other international authorities, although some (especially in the United States) have shown a preference for the term geospatial technology, which may be defined as synonym of ""geospatial information and communications technology"".Although many definitions of geomatics, such as the above, appear to encompass the entire discipline relating to geographic information – including geodesy, geographic information systems, remote sensing, satellite navigation, and cartography –, the term is almost exclusively restricted to the perspective of surveying and engineering toward geographic information.",510905,Geomatics,T
What term is sometimes used as a synonym for geospatial technology?,Geomatics,Geodesy,Remote sensing,Cartography,Geophysics,option_1,"Geomatics is defined in the ISO/TC 211 series of standards as the ""discipline concerned with the collection, distribution, storage, analysis, processing, presentation of geographic data or geographic information"". Under another definition, it consists of products, services and tools involved in the collection, integration and management of geographic (geospatial) data. It is also known as geomatic(s) engineering (geodesy and geoinformatics engineering or geospatial engineering). Surveying engineering was the widely used name for geomatic(s) engineering in the past.

History and etymology
The term was proposed in French (""géomatique"") at the end of the 1960s by scientist Bernard Dubuisson to reflect at the time recent changes in the jobs of surveyor and photogrammetrist. The term was first employed in a French Ministry of Public Works memorandum dated 1 June 1971 instituting a ""standing committee of geomatics"" in the government.The term was popularised in English by French-Canadian surveyor Michel Paradis in his The little Geodesist that could article, in 1981 and in a keynote address at the centennial congress of the Canadian Institute of Surveying (now known as the Canadian Institute of Geomatics) in April 1982. He claimed that at the end of the 20th century the needs for geographical information would reach a scope without precedent in history and that, in order to address these needs, it was necessary to integrate in a new discipline both the traditional disciplines of land surveying and the new tools and techniques of data capture, manipulation, storage and diffusion.Geomatics includes the tools and techniques used in land surveying, remote sensing, cartography, geographic information systems (GIS), global navigation satellite systems (GPS, GLONASS, Galileo, BeiDou), photogrammetry, geophysics, geography, and related forms of earth mapping. The term was originally used in Canada but has since been adopted by the International Organization for Standardization, the Royal Institution of Chartered Surveyors, and many other international authorities, although some (especially in the United States) have shown a preference for the term geospatial technology, which may be defined as synonym of ""geospatial information and communications technology"".Although many definitions of geomatics, such as the above, appear to encompass the entire discipline relating to geographic information – including geodesy, geographic information systems, remote sensing, satellite navigation, and cartography –, the term is almost exclusively restricted to the perspective of surveying and engineering toward geographic information.",510905,Geomatics,T
What is the focus of theoretical computer science?,The study of algorithms and data structures,The mathematical aspects of computer science,The development of quantum mechanics,The study of neural networks,The study of information theory,option_2,"Theoretical computer science (TCS) is a subset of general computer science and mathematics that focuses on mathematical aspects of computer science such as the theory of computation, lambda calculus, and type theory.
It is difficult to circumscribe the theoretical areas precisely. The ACM's Special Interest Group on Algorithms and Computation Theory (SIGACT) provides the following description:
TCS covers a wide variety of topics including algorithms, data structures, computational complexity, parallel and distributed computation, probabilistic computation, quantum computation, automata theory, information theory, cryptography, program semantics and verification, algorithmic game theory, machine learning, computational biology, computational economics, computational geometry, and computational number theory and algebra. Work in this field is often distinguished by its emphasis on mathematical technique and rigor.

History
While logical inference and mathematical proof had existed previously, in 1931 Kurt Gödel proved with his incompleteness theorem that there are fundamental limitations on what statements could be proved or disproved.
Information theory was added to the field with a 1948 mathematical theory of communication by Claude Shannon. In the same decade, Donald Hebb introduced a mathematical model of learning in the brain. With mounting biological data supporting this hypothesis with some modification, the fields of neural networks and parallel distributed processing were established. In 1971, Stephen Cook and, working independently, Leonid Levin, proved that there exist practically relevant problems that are NP-complete – a landmark result in computational complexity theory.
With the development of quantum mechanics in the beginning of the 20th century came the concept that mathematical operations could be performed on an entire particle wavefunction. In other words, one could compute functions on multiple states simultaneously.",323392,Theoretical computer science,S
Which theorem proved the fundamental limitations on what statements could be proved or disproved?,Gödel's incompleteness theorem,Hebb's learning model,Shannon's theory of communication,Cook and Levin's result in computational complexity theory,Quantum mechanics,option_1,"Theoretical computer science (TCS) is a subset of general computer science and mathematics that focuses on mathematical aspects of computer science such as the theory of computation, lambda calculus, and type theory.
It is difficult to circumscribe the theoretical areas precisely. The ACM's Special Interest Group on Algorithms and Computation Theory (SIGACT) provides the following description:
TCS covers a wide variety of topics including algorithms, data structures, computational complexity, parallel and distributed computation, probabilistic computation, quantum computation, automata theory, information theory, cryptography, program semantics and verification, algorithmic game theory, machine learning, computational biology, computational economics, computational geometry, and computational number theory and algebra. Work in this field is often distinguished by its emphasis on mathematical technique and rigor.

History
While logical inference and mathematical proof had existed previously, in 1931 Kurt Gödel proved with his incompleteness theorem that there are fundamental limitations on what statements could be proved or disproved.
Information theory was added to the field with a 1948 mathematical theory of communication by Claude Shannon. In the same decade, Donald Hebb introduced a mathematical model of learning in the brain. With mounting biological data supporting this hypothesis with some modification, the fields of neural networks and parallel distributed processing were established. In 1971, Stephen Cook and, working independently, Leonid Levin, proved that there exist practically relevant problems that are NP-complete – a landmark result in computational complexity theory.
With the development of quantum mechanics in the beginning of the 20th century came the concept that mathematical operations could be performed on an entire particle wavefunction. In other words, one could compute functions on multiple states simultaneously.",323392,Theoretical computer science,S
Which field of study was established based on the mathematical model of learning in the brain?,Algorithmic game theory,Computational biology,Neural networks,Computational economics,Computational geometry,option_3,"Theoretical computer science (TCS) is a subset of general computer science and mathematics that focuses on mathematical aspects of computer science such as the theory of computation, lambda calculus, and type theory.
It is difficult to circumscribe the theoretical areas precisely. The ACM's Special Interest Group on Algorithms and Computation Theory (SIGACT) provides the following description:
TCS covers a wide variety of topics including algorithms, data structures, computational complexity, parallel and distributed computation, probabilistic computation, quantum computation, automata theory, information theory, cryptography, program semantics and verification, algorithmic game theory, machine learning, computational biology, computational economics, computational geometry, and computational number theory and algebra. Work in this field is often distinguished by its emphasis on mathematical technique and rigor.

History
While logical inference and mathematical proof had existed previously, in 1931 Kurt Gödel proved with his incompleteness theorem that there are fundamental limitations on what statements could be proved or disproved.
Information theory was added to the field with a 1948 mathematical theory of communication by Claude Shannon. In the same decade, Donald Hebb introduced a mathematical model of learning in the brain. With mounting biological data supporting this hypothesis with some modification, the fields of neural networks and parallel distributed processing were established. In 1971, Stephen Cook and, working independently, Leonid Levin, proved that there exist practically relevant problems that are NP-complete – a landmark result in computational complexity theory.
With the development of quantum mechanics in the beginning of the 20th century came the concept that mathematical operations could be performed on an entire particle wavefunction. In other words, one could compute functions on multiple states simultaneously.",323392,Theoretical computer science,S
